time,temperature,relative_humidity,dew_point,surface_pressure,precipitation,wind_speed,wind_direction,solar_radiation,cloud_cover,pblh,ventilation_index,is_inversion_risk,pm25,pm10,no2,so2,co,o3,voc,aqi,cml_rsl_dbm,cml_specific_attenuation,aod,solar_attenuation_watts,temp_depression_c,pblh_suppression_m,visibility_km
2023-10-01 00:00:00,24.7,63,17.2,983.4,0.0,9.5,331,0.0,0,944.9757511948527,8977.2696363511,0,12.0,36.17131341375385,20.579545809992155,25.1050314978124,0.588020000435782,6.577173881065544,88.32765151533904,36,-42.14776749544484,0.0351827370106757,0.127383143872302,0.0,0.11800000000000001,1.92,31.93373821155687
2023-10-01 01:00:00,24.0,67,17.5,983.3,0.0,8.0,342,0.0,0,832.4596802749055,6659.677442199244,0,39.422362441654485,84.45638904335429,32.24035785593263,22.282093337478997,0.7009853469951199,29.364713615466755,66.91727899728039,85,-42.139166245932905,0.0331348204602161,0.32664879803378544,0.0,0.15913354366248172,6.307577990664718,10.917783795951205
2023-10-01 02:00:00,23.3,71,17.7,982.7,0.0,7.3,349,0.0,0,828.2536366613865,6046.251547628121,0,25.65923081432032,71.59836046684826,22.73845731851892,21.960993386468758,0.33596114356697787,6.558081964432697,58.57288340240318,72,-42.19433909463138,0.04627121300747239,0.30201442722069005,0.0,0.1384888462214805,4.1054769302912515,15.555959337760044
2023-10-01 03:00:00,23.3,71,17.7,982.3,0.0,8.7,7,0.0,0,894.2583122067317,7780.047316198566,0,39.30684754696776,42.07963492318703,31.78808569758551,11.2394574872986,0.5156450052295595,16.416917384584856,37.25159033393723,66,-42.11057705665788,0.026327870632829615,0.41498121398995325,0.0,0.15896027132045165,6.289095607514842,10.517859268575327
2023-10-01 04:00:00,22.6,75,17.9,982.4,0.0,7.2,6,0.0,5,817.8285343672756,5888.365447444384,0,28.804661152146117,52.92998000736856,30.8689694147988,17.620619775243362,0.5675116326079446,5.587393982118316,74.13108608868764,54,-42.09136004577248,0.021752391850591864,0.18344431996085697,0.0,0.14320699172821919,4.608745784343379,13.433231927705313
2023-10-01 05:00:00,22.8,84,20.0,983.1,0.0,6.7,344,0.0,87,788.3729999511839,5282.099099672932,0,14.192249238823578,39.443384722045906,34.157982975365584,17.42883926055979,0.6383522448032324,20.78243112672865,66.09404634878348,43,-42.101765413854324,0.024229860441506417,0.20268677014569203,0.0,0.12128837385823538,2.2707598782117726,22.75393070098281
2023-10-01 06:00:00,23.2,84,20.4,984.1,0.0,6.5,357,0.0,100,708.0182886710802,4602.118876362021,0,44.69622704988781,101.17146943166935,51.071062471358815,20.102980351181525,0.8005607852423671,19.322437114080547,94.20298032132274,102,-42.16050646043636,0.03821582391341954,0.4577236235065639,0.0,0.16704434057483172,7.151396327982049,8.020977769232404
2023-10-01 07:00:00,24.6,81,21.2,984.6,0.0,8.7,318,34.0,74,1218.5812642429041,10601.656998913266,0,26.04237978500022,49.587564005977406,56.74448135348916,15.029537685036349,0.950493384782365,15.48571695839328,110.96565382565585,72,-42.21762456759496,0.05181537323689583,0.20298002592460926,0.6198086388830053,0.13906356967750033,29.297677258125248,13.76324024928879
2023-10-01 08:00:00,26.7,75,21.9,985.4,0.0,9.4,358,165.0,78,1544.575129851241,14519.006220601665,0,43.98154175667993,84.06330807257343,87.43225561505079,20.556440260534632,0.8759944962221551,25.965395664816317,139.07423470417677,108,-42.20730594768061,0.04935855897157314,0.4447201921244603,5.079868072896533,0.10254736275987493,49.47923447626492,9.066350064131374
2023-10-01 09:00:00,28.5,69,22.3,985.7,0.0,7.2,6,327.0,55,1741.0230416753252,12535.365900062341,0,19.89780055139621,30.200307628322385,87.38748312633837,19.562059457004448,0.9690769080037214,79.74964220132995,142.28576354259823,108,-42.13336385523378,0.03175329886518683,0.1502864447060877,4.554606546214592,0.06263986795983938,22.385025620320736,19.87566064787468
